site-8i,site-2b,site-8i,site-8j,site-4f,nCr,nFe,nNi,dE/atom,vol-ev,ene-ev
Cr,Fe,Cr,Ni,Ni,16,2,12,0.1486232,343.697585,-236.1259
Cr,Ni,Cr,Ni,Ni,16,0,14,0.1432477,342.90095,-230.931391
Cr,Cr,Fe,Ni,Ni,10,8,12,0.0948487,331.56154,-230.60437
Cr,Fe,Fe,Ni,Ni,8,10,12,0.105901733,336.930235,-227.894524
Cr,Ni,Fe,Ni,Ni,8,8,14,0.105583733,335.466208,-222.54829
Cr,Cr,Ni,Ni,Ni,10,0,20,0.093339467,338.733042,-209.226551
Cr,Fe,Ni,Ni,Ni,8,2,20,0.0871201,339.747897,-207.034877
Cr,Ni,Ni,Ni,Ni,8,0,22,0.0938924,336.71305,-201.475934
Fe,Cr,Cr,Cr,Cr,22,8,0,0.143598567,342.808542,-275.546048
Fe,Fe,Cr,Cr,Cr,20,10,0,0.123920433,339.193537,-273.758137
Fe,Ni,Cr,Cr,Cr,20,8,2,0.1306812,340.655019,-268.19954
Fe,Cr,Fe,Cr,Cr,14,16,0,0.105498967,331.561826,-267.176016
Fe,Fe,Fe,Cr,Cr,12,18,0,0.080866733,336.592701,-265.536728
Fe,Ni,Fe,Cr,Cr,12,16,2,0.0847813,335.242136,-260.063517
Fe,Cr,Ni,Cr,Cr,14,8,8,0.1212944,340.410661,-245.279057
Fe,Fe,Ni,Cr,Cr,12,10,8,0.124936133,331.812816,-242.79155
Fe,Ni,Ni,Cr,Cr,12,8,10,0.117867067,332.776553,-237.647848
Fe,Cr,Cr,Cr,Fe,18,12,0,0.124633467,345.77833,-271.358491
Fe,Fe,Cr,Cr,Fe,16,14,0,0.118838067,344.171462,-269.154098
Fe,Ni,Cr,Cr,Fe,16,12,2,0.118241933,344.93646,-263.816208
Fe,Cr,Fe,Cr,Fe,10,20,0,0.097640233,338.138293,-262.655268
Fe,Fe,Fe,Cr,Fe,8,22,0,0.093495333,339.139337,-260.40136
Fe,Ni,Fe,Cr,Fe,8,20,2,0.0887814,341.130882,-255.187004
Fe,Cr,Ni,Cr,Fe,10,12,8,0.083089067,344.537115,-241.668707
Fe,Fe,Ni,Cr,Fe,8,14,8,0.0640233,339.518893,-239.862425
Fe,Ni,Ni,Cr,Fe,8,12,10,0.076598533,345.340343,-234.129394
Fe,Cr,Cr,Cr,Ni,18,8,4,0.162704533,343.493445,-259.504811
Fe,Fe,Cr,Cr,Ni,16,10,4,0.140576833,342.754688,-257.790387
Fe,Ni,Cr,Cr,Ni,16,8,6,0.1419086,343.27161,-252.39466
Fe,Cr,Fe,Cr,Ni,10,16,4,0.115892533,337.437324,-251.396151
Fe,Fe,Fe,Cr,Ni,8,18,4,0.1117777,336.202385,-249.141341
Fe,Ni,Fe,Cr,Ni,8,16,6,0.110679633,337.642608,-243.818509
Fe,Cr,Ni,Cr,Ni,10,8,12,0.1021057,345.74947,-230.38666
Fe,Fe,Ni,Cr,Ni,8,10,12,0.090307867,343.1521,-228.36234
Fe,Ni,Ni,Cr,Ni,8,8,14,0.103706033,343.380121,-222.604621
Fe,Cr,Cr,Fe,Cr,14,16,0,0.130796533,349.444905,-266.417089
Fe,Fe,Cr,Fe,Cr,12,18,0,0.108632333,340.896869,-264.70376
Fe,Ni,Cr,Fe,Cr,12,16,2,0.1161001,339.408335,-259.123953
Fe,Cr,Fe,Fe,Cr,6,24,0,0.090732633,348.736092,-258.105986
Fe,Fe,Fe,Fe,Cr,4,26,0,0.077756833,346.829183,-256.117005
Fe,Ni,Fe,Fe,Cr,4,24,2,0.088422733,346.367631,-250.441254
Fe,Cr,Ni,Fe,Cr,6,16,8,0.0591829,347.558952,-237.629382
Fe,Fe,Ni,Fe,Cr,4,18,8,0.035700967,346.091934,-235.955585
Fe,Ni,Ni,Fe,Cr,4,16,10,0.051157667,341.26299,-230.13611
Fe,Cr,Cr,Fe,Fe,10,20,0,0.112892833,346.88183,-262.19769
Fe,Fe,Cr,Fe,Fe,8,22,0,0.0867147,347.85742,-260.604779
Fe,Ni,Cr,Fe,Fe,8,20,2,0.094153533,347.699126,-255.02584
Fe,Cr,Fe,Fe,Fe,2,28,0,0.0686525,349.24153,-254.01188
Fe,Fe,Fe,Fe,Fe,0,30,0,0.080530333,356.87585,-251.27729
Fe,Ni,Fe,Fe,Fe,0,28,2,0.060835333,359.000823,-246.512366
Fe,Cr,Ni,Fe,Fe,2,20,8,0.0281596,350.088706,-233.803571
Fe,Fe,Ni,Fe,Fe,0,22,8,0.0066869,353.655611,-232.069497
Fe,Ni,Ni,Fe,Fe,0,20,10,-0.0077286,353.035354,-227.146188
Fe,Cr,Cr,Fe,Ni,10,16,4,0.1231608,348.9869,-251.178103
Fe,Fe,Cr,Fe,Ni,8,18,4,0.102174433,346.519519,-249.429439
Fe,Ni,Cr,Fe,Ni,8,16,6,0.112376567,344.765947,-243.767601
Fe,Cr,Fe,Fe,Ni,2,24,4,0.0991559,349.1724,-242.38523
Fe,Fe,Fe,Fe,Ni,0,26,4,0.0801919,354.6413,-240.575895
Fe,Ni,Fe,Fe,Ni,0,24,6,0.0909202,352.667471,-234.898272
